max_depth	min_split	minbucket	cp	ganancia_promedio
4	200	0.5	0.8	0
4	200	0.5	0.9	0
4	100	0.1	-0.9	46408000
4	100	0.1	-0.8	46408000
4	100	0.1	-0.7	46408000
4	100	0.1	-0.6	46408000
4	100	0.1	-0.5	46408000
4	100	0.1	-0.4	46408000
4	100	0.1	-0.3	46408000
4	100	0.1	-0.2	46408000
4	100	0.1	-0.1	46408000
4	100	0.1	0	0
4	100	0.1	0.1	0
4	100	0.1	0.2	0
4	100	0.1	0.3	0
4	100	0.1	0.4	0
4	100	0.1	0.5	0
4	100	0.1	0.6	0
4	100	0.1	0.7	0
4	100	0.1	0.8	0
4	100	0.1	0.9	0
4	100	0.15	-0.9	46222000
4	100	0.15	-0.8	46222000
4	100	0.15	-0.7	46222000
4	100	0.15	-0.6	46222000
4	100	0.15	-0.5	46222000
4	100	0.15	-0.4	46222000
4	100	0.15	-0.3	46222000
4	100	0.15	-0.2	46222000
4	100	0.15	-0.1	46222000
4	100	0.15	0	0
4	100	0.15	0.1	0
4	100	0.15	0.2	0
4	100	0.15	0.3	0
4	100	0.15	0.4	0
4	100	0.15	0.5	0
4	100	0.15	0.6	0
4	100	0.15	0.7	0
4	100	0.15	0.8	0
